Dagtilbud,Instnavn,Adresse,lat,lng,sid,Has Solar Panels
Brabrandsøens dagtilbud,Børnehuset Nattergalen,Louisevej 35,56.148788,10.137324,,Doesn't have solar
Brabrandsøens dagtilbud,Børnehuset Safiren,Helenelyst 70,56.161125,10.094072,,Doesn't have solar
Brabrandsøens dagtilbud,Kometen,Louisevej 35A,56.148872,10.138283,,Doesn't have solar
Brabrandsøens dagtilbud,Børnesnak,Louisevej 37,56.148869,10.138973,,Doesn't have solar
Brabrandsøens dagtilbud,Solskin,Byleddet 22A,56.150642,10.089535,,Doesn't have solar
Brabrandsøens dagtilbud,Søstjernen,Byleddet 22B,56.150372,10.089632,,Doesn't have solar
Brabrandsøens dagtilbud,Vuggestuen Spiloppen,Engdalsvej 6,56.15218,10.103928,,Doesn't have solar
Brabrandsøens dagtilbud,Vuggestuen Tommelise,Louisevej 33,56.148445,10.137541,,Doesn't have solar
Gl. Åby dagtilbud,Børnehaven Silkeborgen,Silkeborgvej 342,56.154007,10.146445,,Doesn't have solar
Gl. Åby dagtilbud,Dagplejen Åby,Henrik Hertz Vej 64E,56.148373,10.157253,,Doesn't have solar
Gl. Åby dagtilbud,Hobbitten,Åbyvej 91,56.146198,10.163043,,Doesn't have solar
Gl. Åby dagtilbud,Perlen,B.S. Ingemanns Vej 27,56.152531,10.163692,,Doesn't have solar
Gl. Åby dagtilbud,Vuggestuen Heimdalsvej,Heimdalsvej 5,56.155273,10.176919,,Doesn't have solar
Gl. Åby dagtilbud,Vuggestuen Nannasvej,Nannasvej 4,56.154343,10.17834,,Doesn't have solar
Gl. Åby dagtilbud,Vuggestuen Silkeborgvej 88A,Silkeborgvej 88A,56.156727,10.183723,,Doesn't have solar
Harlev dagtilbud,Børnehaven Næshøj,Sydbakken 6,56.142097,9.9986439,,Doesn't have solar
Harlev dagtilbud,Børnehuset Pilehaven,Rødlundvænget 35,56.142746,9.9868488,,Doesn't have solar
Harlev dagtilbud,Kompasset,Rødlundvænget 37,56.143032,9.9860706,,Doesn't have solar
Harlev dagtilbud,Regnbuen,Næshøjvej 20,56.145245,9.9937592,,Doesn't have solar
Nordbyernes dagtilbud,Børnegården Bifrost,Østergårdstoften 1,56.250614,10.268909,,Doesn't have solar
Nordbyernes dagtilbud,Solsikken,Kankbøllevej 12,56.245583,10.271728,,Doesn't have solar
Holme-Rundhøj dagtilbud,Børnehuset Jorden Rundt,Rundhøj Allé 83,56.118664,10.175025,,Doesn't have solar
Holme-Rundhøj dagtilbud,Børnehuset Tulshøjvej 5,Tulshøjvej 5,56.11301,10.172644,,Doesn't have solar
Holme-Rundhøj dagtilbud,Dagplejen Højbjerg og Holme,Hjulbjergvej 7A,56.113384,10.19106,,Doesn't have solar
Holme-Rundhøj dagtilbud,Elverhøj,Nygårdsvej 11,56.110626,10.175195,,Doesn't have solar
Holme-Rundhøj dagtilbud,Flyverhøjen,Nygårdsvej 15,56.110622,10.17618,,Doesn't have solar
Holme-Rundhøj dagtilbud,Holme Børnehus,Urmagertoften 24,56.107304,10.168346,,Doesn't have solar
Holme-Rundhøj dagtilbud,Holmetræet,Hjulbjergvej 127,56.112701,10.183928,,Doesn't have solar
Holme-Rundhøj dagtilbud,Kløverhulen,Nygårdsvej 3B,56.109852,10.173908,,Doesn't have solar
Nordbyernes dagtilbud,Hårup Børnegård,Salonikivej 26,56.286964,10.214406,,Doesn't have solar
Nordbyernes dagtilbud,Krokodillehaven,Koldkilde 9,56.241096,10.196682,,Doesn't have solar
Nordbyernes dagtilbud,Møllehuset,Lille Elstedvej 189,56.235474,10.218348,,Doesn't have solar
Nordbyernes dagtilbud,Todbjerg Børnehus,Bøggildsvej 22,56.26944,10.21093,,Doesn't have solar
Kolt Hasselager dagtilbud,Børnehuset Olympia,Kolt Østervej 49,56.110161,10.077808,,Doesn't have solar
Kolt Hasselager dagtilbud,Børnehuset Pilehytten,Pilegårdsvej 89,56.106232,10.076284,,Doesn't have solar
Harlev dagtilbud,Vuggestuen Den Grønne Gren,Grønhøjvej 62,56.145473,10.001042,,Doesn't have solar
Nordbyernes dagtilbud,"Dagplejen i Hjortshøj, Hårup, Mejlby og Elev",Virupvej 69,56.244453,10.270295,,Doesn't have solar
Kolt Hasselager dagtilbud,Bavnebakken,Bavnebakken 111,56.110104,10.082836,,Doesn't have solar
Kolt Hasselager dagtilbud,Dagplejen i Kolt og Hasselager,Pilegårdsvej 95,56.106136,10.075345,54403.0,Has Solar
Kolt Hasselager dagtilbud,Kolbøtten,Koltvej 49,56.107464,10.090235,,Doesn't have solar
Kolt Hasselager dagtilbud,Labyrinten,Kolt Østervej 53,56.111282,10.078206,,Doesn't have solar
Kolt Hasselager dagtilbud,Spiloppen,Pilegårdsvej 95,56.106136,10.075345,54403.0,Has Solar
Lystrup-Elsted dagtilbud,Børnehuset Lyset,Indelukket 5,56.241398,10.24633,54409.0,Has Solar
Kolt Hasselager dagtilbud,Troldehøjen,Kolt Østervej 51,56.110699,10.078284,,Doesn't have solar
Kolt Hasselager dagtilbud,Universet,Kolt Østerparken 21A,56.111519,10.09059,,Doesn't have solar
Langenæs dagtilbud,Børnehuset og Mariendal,Langenæs Allé 29,56.141838,10.183696,,Doesn't have solar
Langenæs dagtilbud,Langenæsstien 6A,Langenæsstien 6A,56.144199,10.183611,,Doesn't have solar
Langenæs dagtilbud,Langenæsstien 6B,Langenæsstien 6B,56.14447,10.183037,,Doesn't have solar
Langenæs dagtilbud,Børnehuset Langenæsstien 8B,Langenæsstien 8B,56.143959,10.183082,,Doesn't have solar
Langenæs dagtilbud,Vuggestuen Ankersgade,Ankersgade 19,56.147881,10.191031,,Doesn't have solar
Langenæs dagtilbud,Vuggestuen Langenæsstien 6D,Langenæsstien 6D,56.144215,10.182584,,Doesn't have solar
Langenæs dagtilbud,Vuggestuen Læssøesgade,Læssøesgade 22,56.146534,10.188981,,Doesn't have solar
Lisbjerg-Trige-Spørring dagtilbud,Børnehuset Gimlehøj,"Jørgen Clevins Gade 29, st. tv",56.218925,10.158816,,Doesn't have solar
Lisbjerg-Trige-Spørring dagtilbud,Børnehuset Mimershøj,"Jørgen Clevins Gade 29, st. th",56.218925,10.158816,,Doesn't have solar
Lisbjerg-Trige-Spørring dagtilbud,Børnehuset Rønnebo,Elevvej 14,56.222443,10.16759,,Doesn't have solar
Lisbjerg-Trige-Spørring dagtilbud,Idrætsdagplejen Trige - Spørring,Trige Centervej 75B,56.251209,10.143224,,Doesn't have solar
Lisbjerg-Trige-Spørring dagtilbud,Idrætsinstitutionen Spørring børnehus,Gammel Landevej 29,56.298573,10.145934,,Doesn't have solar
Lystrup-Elsted dagtilbud,Blomsterhaven,Hasselhaven 3,56.240524,10.236856,,Doesn't have solar
Lystrup-Elsted dagtilbud,Børnehuset Godthåb,Elsted Byvej 36,56.244122,10.231819,,Doesn't have solar
Lystrup-Elsted dagtilbud,D.i.i. Børneuniverset,Lystrupvej 264,56.238537,10.228542,,Doesn't have solar
Lystrup-Elsted dagtilbud,Dagplejen i Lystrup og Elsted,Elsted Skolevej 4,56.240776,10.227651,,Doesn't have solar
Lystrup-Elsted dagtilbud,Elsted Børnehus,Elsted Byvej 38,56.24382,10.231878,,Doesn't have solar
Lystrup-Elsted dagtilbud,Hasselhaven,Hasselhaven 1,56.240658,10.237597,,Doesn't have solar
Lystrup-Elsted dagtilbud,Hurlumhejhuset,Lille Elstedvej 135,56.233257,10.222272,,Doesn't have solar
Beder-Malling dagtilbud,Børnehuset Ajstrupvej,Ajstrupvej 47,56.038364,10.200057,,Doesn't have solar
Lystrup-Elsted dagtilbud,Børnehaven Lystruplund,Lystruplund 36,56.229057,10.232933,,Doesn't have solar
Lystrup-Elsted dagtilbud,Ørnereden,Ørnedalen 2,56.240658,10.225423,,Doesn't have solar
Midtbyens dagtilbud,Børnehuset Villekulla,Falstersgade 35,56.163765,10.199736,,Doesn't have solar
Midtbyens dagtilbud,Børnehuset Vores Sted,Livøsmøgen 36A,56.162804,10.204216,,Doesn't have solar
Midtbyens dagtilbud,Kolbøtten,Thunøgade 11,56.161324,10.205933,,Doesn't have solar
Midtbyens dagtilbud,Nørrestenbro,Knudrisgade 7A,56.163239,10.212588,,Doesn't have solar
Midtbyens dagtilbud,Skattekisten,Knudrisgade 7B,56.163467,10.21253,,Doesn't have solar
Midtbyens dagtilbud,VokseVærket,Østboulevarden 9,56.163822,10.213733,,Doesn't have solar
Midtbyens dagtilbud,Vuggestuen Graven,Graven 19,56.158283,10.2095,,Doesn't have solar
Lisbjerg-Trige-Spørring dagtilbud,Idrætsinstitutionen Tumlehøjen,Smedebroen 23,56.25246,10.147601,,Doesn't have solar
Midtbyens dagtilbud,Vuggestuen Ny Vimmerby,Falstersgade 17,56.162716,10.200406,,Doesn't have solar
Midtbyens dagtilbud,Vuggestuen Storkereden,Nørre Boulevard 1A,56.165031,10.211228,,Doesn't have solar
Møllevang dagtilbud,Børnehuset Derudá,Høgevej 25A,56.171116,10.178463,,Doesn't have solar
Møllevang dagtilbud,Børnehuset Frydenlund,Fuglebakkevej 62,56.167797,10.176006,,Doesn't have solar
Møllevang dagtilbud,Børnehuset Vesterbo,Poul Martin Møllers Vej 20,56.165668,10.191503,,Doesn't have solar
Møllevang dagtilbud,Børnehuset Haven,Vestervang 14,56.163006,10.193533,,Doesn't have solar
Møllevang dagtilbud,Ovenpå,Fuglebakkevej 66,56.167778,10.175523,,Doesn't have solar
Møllevang dagtilbud,Vuggestuen Gårdhaven,Rosenstien 2,56.157093,10.187841,,Doesn't have solar
Møllevang dagtilbud,Vuggestuen Kernehuset,Vestervang 12,56.162727,10.194962,,Doesn't have solar
Møllevang dagtilbud,Vuggestuen Vestervang,Vestervang 15,56.163273,10.195335,,Doesn't have solar
Møllevang dagtilbud,Væksthuset 8210,Højlyngen 1,56.172066,10.175409,,Doesn't have solar
Risskov dagtilbud,Børnehaven Jasminvej,Jasminvej 31,56.194569,10.238686,,Doesn't have solar
Risskov dagtilbud,Børnehuset Alsvej,Alsvej 37,56.193001,10.222999,,Doesn't have solar
Risskov dagtilbud,Damhuset,Tretommervej 2,56.186062,10.22641,,Doesn't have solar
Risskov dagtilbud,Gadekæret,Vikær Toften 2A,56.194153,10.215324,,Doesn't have solar
Risskov dagtilbud,Risskov Børnehus,Frijsenborgvej 15,56.189587,10.213821,,Doesn't have solar
Risskov dagtilbud,Under Bøgen,Erling Jacobsens Gade 7,56.18766,10.234816,,Doesn't have solar
Risskov dagtilbud,Vuggestuen Forteleddet,Forteledet 27,56.194324,10.236753,,Doesn't have solar
Risskov dagtilbud,Vuggestuen Lindenborgvej,Lindenborgvej 7,56.188934,10.212645,54376.0,Has Solar
Risskov dagtilbud,Vuggestuen Solsikken,Erling Jacobsens Gade 5,56.187996,10.234977,,Doesn't have solar
Sabro dagtilbud,D.I.I. Evigglad,Sabro Skovvej 35A,56.212593,10.035069,,Doesn't have solar
Sabro dagtilbud,D.I.I. Sommerfuglen,Rønnevangen 2,56.207996,10.04596,,Doesn't have solar
Sabro dagtilbud,Galaksen,Vistoftvej 36A,56.211823,10.038379,,Doesn't have solar
Sabro dagtilbud,Humlebien,Sabro Skovvej 35B,56.212666,10.034415,,Doesn't have solar
Sabro dagtilbud,Tryllefløjten,Sabro Skolevej 2,56.211426,10.022694,,Doesn't have solar
Skejby-Vorrevang dagtilbud,Børnehuset Bonanza,Næringen 101,56.194965,10.196182,,Doesn't have solar
Skejby-Vorrevang dagtilbud,Børnehuset Nordlys,Grydhøjvej 16A,56.187569,10.202135,,Doesn't have solar
Skejby-Vorrevang dagtilbud,Børnehuset På Toppen,Næringen 97,56.19487,10.197383,,Doesn't have solar
Skejby-Vorrevang dagtilbud,Huset På Bakken,Lindholmvej 2A,56.188057,10.195223,,Doesn't have solar
Skejby-Vorrevang dagtilbud,Skibet,Skejbytoften 230,56.198071,10.189469,,Doesn't have solar
Skejby-Vorrevang dagtilbud,Vuggestuen Firkløveren,Skejbytoften 232,56.197628,10.189554,,Doesn't have solar
Skejby-Vorrevang dagtilbud,Vuggestuen Lærkebo,Næringen 95,56.195,10.197062,,Doesn't have solar
Skjoldhøj dagtilbud,Dagplejen i Ellekær og Skjoldhøj,Skjoldhøjvej 9,56.174648,10.114627,,Doesn't have solar
Skjoldhøj dagtilbud,Mariehønen,Jernaldervænget 6,56.173531,10.123346,,Doesn't have solar
Skjoldhøj dagtilbud,Regnbuen,Jernaldervænget 4,56.173931,10.123753,,Doesn't have solar
Skjoldhøj dagtilbud,Venøvej 9,Venøvej 9,56.175735,10.113459,,Doesn't have solar
Skjoldhøj dagtilbud,Vuggestuen Solsikken,Bronzealdertoften 1,56.172298,10.134559,,Doesn't have solar
Skovvang og Trøjborg dagtilbud,Børnehaven Rytterparken,C.F. Jessens Vej 7,56.173534,10.208198,,Doesn't have solar
Skovvang og Trøjborg dagtilbud,Børnehuset Troldeskoven,Kornbakke Allé 60,56.180389,10.20521,,Doesn't have solar
