Dagtilbud,Instnavn,Adresse,lat,lng,sid,Has Solar Panels
Tilst dagtilbud,Søhøjen,Søhøjen 58,56.194523,10.101871,,Doesn't have solar
Tilst dagtilbud,Børnehuset Valhalla,Haurumsvej 1B,56.188221,10.105721,,Doesn't have solar
Tilst dagtilbud,Æsken,Græsvangen 125,56.192314,10.104302,,Doesn't have solar
Tovshøj dagtilbud,Bevægelsesbørnehuset,Gudrunsvej 3A,56.159054,10.14181,,Doesn't have solar
Strandens dagtilbud,Vuggestuen Åkanden,Åvænget 1,56.206589,10.260334,,Doesn't have solar
Tovshøj dagtilbud,Idrætsbørnehuset v/Globus1,Gudrunsvej 3B,56.158665,10.14172,,Doesn't have solar
Tovshøj dagtilbud,Junglen,Janesvej 1A,56.164906,10.139175,,Doesn't have solar
Tovshøj dagtilbud,Børnehuset Fusijama,Janesvej 29A,56.165588,10.134506,,Doesn't have solar
Tranbjerg dagtilbud,Børnehuset Hoppeloppen,Torvevænget 5A,56.093945,10.138002,,Doesn't have solar
Tranbjerg dagtilbud,Børnehuset Klatretræet,Laurbærvænget 4,56.089497,10.142909,,Doesn't have solar
Tranbjerg dagtilbud,Børnehuset Smilehullet,Østerby Allé 348,56.091354,10.140216,,Doesn't have solar
Tranbjerg dagtilbud,Børnehuset Ællebælle,Torvevænget 5C,56.094494,10.138637,,Doesn't have solar
Tranbjerg dagtilbud,Børnesymfonien,Laurbærvænget 5A,56.089397,10.149307,,Doesn't have solar
Tranbjerg dagtilbud,Dagplejen i Tranbjerg,Grønløkke Allé 5,56.093899,10.127298,,Doesn't have solar
Tranbjerg dagtilbud,Legehuset Regnbuen,Børupvej 2,56.094791,10.129752,,Doesn't have solar
Tranbjerg dagtilbud,Solsikken,Torvevænget 5B,56.094196,10.138365,,Doesn't have solar
Tranbjerg dagtilbud,Eventyrskoven,Skovgårdsvænget 600,56.090569,10.12249,,Doesn't have solar
Skovvang og Trøjborg dagtilbud,Børneslottet Bavnehøj,Herluf Trolles Gade 6,56.172672,10.219625,,Doesn't have solar
Skovvang og Trøjborg dagtilbud,Børnehuset Trolle,Herluf Trolles Gade 23B,56.172333,10.217769,,Doesn't have solar
Skovvang og Trøjborg dagtilbud,Skuden Skram,Peder Skrams Gade 43,56.17358,10.216572,,Doesn't have solar
Skovvang og Trøjborg dagtilbud,Vuggestuen Rudgården,Otte Ruds Gade 26,56.171921,10.21711,,Doesn't have solar
Søndervang-Vestergård dagtilbud,DII Træhøjen,Onsholtvej 69A,56.122643,10.127773,,Doesn't have solar
Søndervang-Vestergård dagtilbud,Grøften,Grøfthøjparken 2,56.122379,10.1417,,Doesn't have solar
Søndervang-Vestergård dagtilbud,Skovbørnehaven Grøftekanten,Grøfthøjparken 2,56.122379,10.1417,,Doesn't have solar
Søndervang-Vestergård dagtilbud,Skovkanten,Damagervej 18,56.13232,10.15309,,Doesn't have solar
Viby-Rosenvang dagtilbud,Børnehuset Grundtvigsvej,Grundtvigsvej 26,56.12941,10.169504,,Doesn't have solar
Viby-Rosenvang dagtilbud,Børnehuset Moltkesvej,Moltkesvej 2,56.121143,10.149671,,Doesn't have solar
Viby-Rosenvang dagtilbud,Børnehuset Vidtskue,Vidtskuevej 25A,56.128117,10.178061,,Doesn't have solar
Viby-Rosenvang dagtilbud,Børnehuset Vilhelm Becks Vej,Vilhelm Becks Vej 51,56.13139,10.185466,,Doesn't have solar
Viby-Rosenvang dagtilbud,DII Børnehuset Fredensvang,Vidtskuevej 27,56.127319,10.177152,,Doesn't have solar
Viby-Rosenvang dagtilbud,DII Tumlehuset,Observatorievejen 1A,56.127178,10.19462,,Doesn't have solar
Skovvang og Trøjborg dagtilbud,Trøjborg Børnehus,Aldersrovej 21,56.171341,10.211167,,Doesn't have solar
Skovvang og Trøjborg dagtilbud,Vuggestuen Trøjborg,Barthsgade 20,56.171799,10.209839,,Doesn't have solar
Søndervang-Vestergård dagtilbud,2-Kløveren,Onsholtgårdsvej 2,56.121677,10.124249,,Doesn't have solar
Viby-Rosenvang dagtilbud,Hurlumhejhuset,Vidtskuevej 31,56.127739,10.176198,,Doesn't have solar
Viby-Rosenvang dagtilbud,Vuggestuen Bjørnbaksvej,Bjørnbaksvej 7,56.128284,10.168956,,Doesn't have solar
Åbyhøj dagtilbud,Børnehuset Børneliv,Klokkervej 53,56.160484,10.155244,,Doesn't have solar
Søndervang-Vestergård dagtilbud,Dagplejen i Viby og Stavtrup,Damagervej 18,56.13232,10.15309,,Doesn't have solar
Viby-Rosenvang dagtilbud,Østerbo vuggestue og børnehave,Bjørnbaksvej 19,56.128235,10.169577,,Doesn't have solar
Åbyhøj dagtilbud,Børnehaven Gammelgården,Åbyhøjvej 4,56.165192,10.161129,,Doesn't have solar
Åbyhøj dagtilbud,Børnehuset Digterparken,Dr. Holsts Vej 52,56.160183,10.145255,,Doesn't have solar
Åbyhøj dagtilbud,Børnehuset Klokkervej,Klokkervej 38,56.16143,10.158503,,Doesn't have solar
Åbyhøj dagtilbud,Børnehuset Ryhaven,Ryhaven 114,56.163601,10.148387,,Doesn't have solar
Åbyhøj dagtilbud,Ved Æbletræet,Gammelgårdsvej 24A,56.157047,10.157714,,Doesn't have solar
Gl. Åby dagtilbud,Børnehuset Tusindfryd,Gudrunsvej 66B,56.155937,10.137719,,Doesn't have solar
Beder-Malling dagtilbud,Børnehuset Østerskov,Mallinggårdsvej 6,56.042465,10.205343,,Doesn't have solar
Beder-Malling dagtilbud,Børnehuset Himmelblå,Byagervej 96,56.054527,10.20484,,Doesn't have solar
Brabrand dagtilbud,Unimukken,Jettesvej 2,56.157799,10.131058,,Doesn't have solar
Skovvang og Trøjborg dagtilbud,Kongevellen,Kongevellen 2D,56.184898,10.2109,,Doesn't have solar
Dagtilbuddet Aarhus Ø,Børnenes Ø,Thit Jensens Gade 11A,56.164715,10.22774,,Doesn't have solar
Nordbyernes dagtilbud,Børnehuset Løvstikken,Løvstikkevej 10,56.232857,10.208253,,Doesn't have solar
Beder-Malling dagtilbud,Børnehuset Molevitten,Mallinggårdsvej 4,56.042786,10.205505,,Doesn't have solar
Lisbjerg-Trige-Spørring dagtilbud,DII Bakketoppen,Bjørnshøjvej 1C,56.25296,10.150251,,Doesn't have solar
Specialdagtilbud Skovbrynet,Afdeling Skovhøj,Janesvej 2,56.166771,10.137611,,Doesn't have solar
Risskov dagtilbud,Idrætsbørnehuset Hoppeland,Frijsenborgvej 9,56.189045,10.21379,,Doesn't have solar
Frederiksbjerg dagtilbud,International Day Nursery - Aarhus,Marselis Boulevard 50,56.140671,10.196028,,Doesn't have solar
Tilst dagtilbud,Livstræet,Tilst Skolevej 13B,56.18919,10.110354,,Doesn't have solar
Beder-Malling dagtilbud,Satelitten Serinedalen,Byagervej 164,56.053596,10.212876,,Doesn't have solar
